Date,A_SB,A_NB,A_Total,B_SB,B_NB,B_Total,H_SB,H_NB,H_Total,A_Day,H_Day,A_WD,H_WD,A_M,H_M,A_DM,H_DM,Year,F_SB,F_NB,F_Total,,
3/15/2019,3801,4072,7873,3579,3370,6949,2659,2795,5454,5,5,1,1,3,3,15,16,2019,3801,4072,7873,,
3/16/2019,3893,4615,8508,3243,3515,6758,2409,2915,5324,6,6,1,1,3,3,16,17,2019,3893,4615,8508,,
3/17/2019,3310,4503,7813,3190,4171,7361,2370,3459,5829,7,7,1,1,3,3,17,18,2019,3310,4503,7813,,
3/18/2019,4204,3291,7495,3699,3121,6820,2748,2588,5336,1,1,0,0,3,3,18,19,2019,4204,3291,7495,,
3/19/2019,3276,2925,6201,2675,2894,5569,1987,2400,4387,2,2,0,0,3,3,19,20,2019,3276,2925,6201,,
3/20/2019,2945,2935,5880,3084,3691,6775,2291,3061,5352,3,3,0,0,3,3,20,21,2019,2945,2935,5880,,
3/21/2019,3805,3371,7176,3933,3839,7772,2922,3184,6106,4,4,0,0,3,3,21,22,2019,3805,3371,7176,,
3/22/2019,4649,3606,8255,4198,5611,9809,3119,4653,7772,5,5,1,1,3,3,22,23,2019,4649,3606,8255,,
3/23/2019,4702,4408,9110,3906,6066,9973,2902,5031,7933,6,6,1,1,3,3,23,24,2019,4702,4408,9110,,
3/24/2019,3737,4825,8562,3733,6544,10276,2773,5427,8200,7,7,1,1,3,3,24,25,2019,3737,4825,8562,,
3/25/2019,2809,4025,6834,2766,5320,8086,2055,4412,6467,1,1,0,0,3,3,25,26,2019,2809,4025,6834,,
3/26/2019,2476,3802,6278,2603,5327,7930,1934,4418,6352,2,2,0,0,3,3,26,27,2019,2476,3802,6278,,
3/27/2019,2771,3458,6229,3124,5615,8740,2321,4657,6978,3,3,0,0,3,3,27,28,2019,2771,3458,6229,,
3/28/2019,3752,3873,7625,2373,3387,5760,3068,4395,7463,4,4,0,0,3,3,28,29,2019,3752,3873,7625,,
3/29/2019,4335,4178,8513,4986,4349,9335,3704,3607,7311,5,5,1,1,3,3,29,30,2019,4335,4178,8513,,
3/30/2019,4112,5636,9748,6573,5184,11756,4883,4299,9182,6,6,1,1,3,3,30,31,2019,4112,5636,9748,,
3/31/2019,3579,5317,8896,4900,4647,9545,4537,3915,8452,7,7,1,1,3,4,31,1,2019,3579,5317,8896,,
4/1/2019,2673,4920,7593,3410,3919,7330,3185,3749,6934,1,1,0,0,4,4,1,2,2019,2673,4920,7593,,
4/2/2019,2330,4033,6363,2939,3464,6403,2757,3315,6072,2,2,0,0,4,4,2,3,2019,2330,4033,6363,,
4/3/2019,2477,3493,5970,3104,3231,6335,2907,3093,6000,3,3,0,0,4,4,3,4,2019,2477,3493,5970,,
4/4/2019,3421,3760,7181,3681,3049,6730,3431,2920,6351,4,4,0,0,4,4,4,5,2019,3421,3760,7181,,
4/5/2019,3508,3845,7353,3497,2847,6344,3264,2728,5992,5,5,1,1,4,4,5,6,2019,3508,3845,7353,,
4/6/2019,3070,4678,7748,3364,3297,6661,3143,3156,6299,6,6,1,1,4,4,6,7,2019,3070,4678,7748,,
4/7/2019,2887,5287,8174,3281,4251,7532,3068,4516,7584,7,7,1,1,4,4,7,8,2019,2887,5287,8174,,
4/8/2019,2128,4511,6639,2316,3402,5717,2190,3256,5446,1,1,0,0,4,4,8,9,2019,2128,4511,6639,,
4/9/2019,2082,3864,5946,1948,2742,4691,1856,2628,4484,2,2,0,0,4,4,9,10,2019,2082,3864,5946,,
4/10/2019,2511,3550,6061,2062,2479,4541,1874,2377,4251,3,3,0,0,4,4,10,11,2019,2511,3550,6061,,
4/11/2019,3676,4559,8235,3121,3326,6447,2553,2686,5239,4,4,0,0,4,4,11,12,2019,3676,4559,8235,,
4/12/2019,3572,5762,9334,3337,4869,8206,2449,2614,5063,5,5,1,1,4,4,12,13,2019,3572,5762,9334,,
4/13/2019,3161,7079,10240,3099,5266,8364,2041,3288,5329,6,6,1,1,4,4,13,14,2019,3161,7079,10240,,
4/14/2019,2433,5966,8399,2957,5681,8638,2045,3698,5743,7,7,1,1,4,4,14,15,2019,2433,5966,8399,,
4/15/2019,2321,5415,7736,2167,4616,6783,1703,2819,4522,1,1,0,0,4,4,15,16,2019,2321,5415,7736,,
4/16/2019,2417,5101,7518,2034,4622,6656,1660,2443,4103,2,2,0,0,4,4,16,17,2019,2417,5101,7518,,
4/17/2019,2883,5037,7920,2460,4873,7333,1956,2337,4293,3,3,0,0,4,4,17,18,2019,2883,5037,7920,,
4/18/2019,3855,4805,8660,3281,4598,7879,2713,2439,5152,4,4,0,0,4,4,18,19,2019,3855,4805,8660,,
4/19/2019,4577,3855,8432,3981,3770,7751,2584,2628,5212,5,5,1,1,4,4,19,20,2019,4577,3855,8432,,
4/20/2019,4820,3859,8679,5278,4497,9775,1936,2727,4663,6,6,1,1,4,4,20,21,2019,4820,3859,8679,,
4/21/2019,4917,4067,8984,4897,4094,8991,2164,3503,5667,7,7,1,1,4,4,21,22,2019,4917,4067,8984,,
4/22/2019,4317,4186,8503,3410,3919,7330,1882,2967,4849,1,1,0,0,4,4,22,23,2019,4317,4186,8503,,
4/23/2019,3829,4174,8003,3077,3464,6541,1647,2448,4095,2,2,0,0,4,4,23,24,2019,3829,4174,8003,,
4/24/2019,3882,3662,7544,3250,3231,6480,2072,2598,4670,3,3,0,0,4,4,24,25,2019,3882,3662,7544,,
4/25/2019,4693,3482,8175,3852,3049,6901,2513,3310,5823,4,4,0,0,4,4,25,26,2019,4693,3482,8175,,
4/26/2019,4966,3082,8048,3660,2847,6508,2257,3676,5933,5,5,1,1,4,4,26,27,2019,4966,3082,8048,,
4/27/2019,4578,3853,8431,3521,3297,6818,1980,3319,5299,6,6,1,1,4,4,27,28,2019,4578,3853,8431,,
4/28/2019,4264,4622,8886,3435,3725,7160,2233,3747,5980,7,7,1,1,4,4,28,29,2019,4264,4622,8886,,
4/29/2019,2966,4564,7530,2425,3402,5827,1938,2755,4693,1,1,0,0,4,4,29,30,2019,2966,4564,7530,,
4/30/2019,2805,3679,6484,2041,2742,4783,3225,2198,5423,2,2,0,0,4,5,30,1,2019,2805,3679,6484,,
5/1/2019,3322,3588,6910,3321,2302,5623,2696,2017,4713,3,3,0,0,5,5,1,2,2019,3322,3588,6910,,
5/2/2019,4481,3287,7768,3649,2812,6461,2962,2464,5426,4,4,0,0,5,5,2,3,2019,4481,3287,7768,,
5/3/2019,3990,3664,7654,3748,2828,6576,2951,2380,5331,5,5,1,1,5,5,3,4,2019,3990,3664,7654,,
5/4/2019,3429,3874,7303,3316,2736,6052,2601,2496,5097,6,6,1,1,5,5,4,5,2019,3429,3874,7303,,
5/5/2019,3418,4420,7838,3256,3739,6995,2461,3276,5737,7,7,1,1,5,5,5,6,2019,3418,4420,7838,,
5/6/2019,3013,4423,7436,2539,3250,5789,1970,2848,4818,1,1,0,0,5,5,6,7,2019,3013,4423,7436,,
5/7/2019,3138,3739,6877,2721,2881,5602,2209,2524,4733,2,2,0,0,5,5,7,8,2019,3138,3739,6877,,
5/8/2019,3648,2965,6613,3547,2487,6034,2788,2179,4967,3,3,0,0,5,5,8,9,2019,3648,2965,6613,,
